 ******GRWAVE  (RELEASE 2 AT 23/10/1985 )********
 *****COPYRIGHT  (C)   GEC   PLC   1985   *********
 CCIR Personal Computer Version 1989 Study Group 5 IWP5/1
 
 GRWAVE COMPUTES FIELD STRENGTH-DISTANCE VARIATIONS
 FOR A HOMOGENEOUS CURVED EARTH WITH EXPONENTIALLY
 DECREASING REFRACTIVE INDEX


                     ATMOSPHERIC CONSTANTS
                         REFRACTIVITY =315.00  (N-UNITS)
                         SCALE HEIGHT = 7.350  KM

                     GROUND CONSTANTS
                         RELATIVE PERMITTIVITY =    80.000
                         CONDUCTIVITY =3.0000D-03  SIEMENS/METRE

                     VERTICAL POLARISATION

                     MINIMUM DISTANCE =  1000.000  KILOMETRES
                     MAXIMUM DISTANCE = 10000.000  KILOMETRES
                     DSTEP            =   100.000  KILOMETRES


                     FREQUENCY =   12.000 MHZ

                     TRANSMITTER HEIGHT =     5.0  METRES
                     RECIEVER HEIGHT    =     5.0  METRES

                     DISTANCE      FIELD STRENGTH     BASIC TRANSMISSION LOSS
                       KM            DB(UV/M)               DB           (F) 
                                                                          (R)
                       1000.00       -177.92               338.96
                       1100.00       -198.43               359.47
                       1200.00       -218.90               379.94
                       1300.00       -239.34               400.38
                       1400.00       -259.76               420.80
                       1500.00       -280.15               441.19
                       1600.00       -300.52               461.56
                       1700.00       -320.88               481.92
                       1800.00       -341.22               502.26
                       1900.00       -361.54               522.59
                       2000.00       -381.86               542.90
                       2100.00       -402.16               563.20
                       2200.00       -422.45               583.50
                       2300.00       -442.74               603.78
                       2400.00       -463.01               624.05
                       2500.00       -483.28               644.32
                       2600.00       -503.54               664.58
                       2700.00       -523.79               684.83
                       2800.00       -544.04               705.08
                       2900.00       -564.28               725.32
                       3000.00       -584.51               745.55
                       3100.00       -604.74               765.78
                       3200.00       -624.96               786.01
                       3300.00       -645.18               806.23
                       3400.00       -665.40               826.44
                       3500.00       -685.61               846.65
                       3600.00       -705.82               866.86
                       3700.00       -726.02               887.06
                       3800.00       -746.22               907.26
                       3900.00       -766.42               927.46
                       4000.00       -786.61               947.65
                       4100.00       -806.80               967.84
                       4200.00       -826.99               988.03
                       4300.00       -847.18              1008.22
                       4400.00       -867.36              1028.40
                       4500.00       -887.54              1048.58
                       4600.00       -907.71              1068.75
                       4700.00       -927.89              1088.93
                       4800.00       -948.06              1109.10
                       4900.00       -968.23              1129.27
                       5000.00       -988.40              1149.44
                       5100.00       *******              1169.60
                       5200.00       *******              1189.77
                       5300.00       *******              1209.93
                       5400.00       *******              1230.09
                       5500.00       *******              1250.24
                       5600.00       *******              1270.40
                       5700.00       *******              1290.55
                       5800.00       *******              1310.71
                       5900.00       *******              1330.86
                       6000.00       *******              1351.00
                       6100.00       *******              1371.15
                       6200.00       *******              1391.30
                       6300.00       *******              1411.44
                       6400.00       *******              1431.58
                       6500.00       *******              1451.72
                       6600.00       *******              1471.86
                       6700.00       *******              1492.00
                       6800.00       *******              1512.14
                       6900.00       *******              1532.27
                       7000.00       *******              1552.40
                       7100.00       *******              1572.54
                       7200.00       *******              1592.67
                       7300.00       *******              1612.80
                       7400.00       *******              1632.93
                       7500.00       *******              1653.05
                       7600.00       *******              1673.18
                       7700.00       *******              1693.30
                       7800.00       *******              1713.43
                       7900.00       *******              1733.55
                       8000.00       *******              1753.67
                       8100.00       *******              1773.79
                       8200.00       *******              1793.91
                       8300.00       *******              1814.02
                       8400.00       *******              1834.14
                       8500.00       *******              1854.26
                       8600.00       *******              1874.37
                       8700.00       *******              1894.48
                       8800.00       *******              1914.59
                       8900.00       *******              1934.70
                       9000.00       *******              1954.81
                       9100.00       *******              1974.92
                       9200.00       *******              1995.03
                       9300.00       *******              2015.14
                       9400.00       *******              2035.24
                       9500.00       *******              2055.34
                       9600.00       *******              2075.45
                       9700.00       *******              2095.55
                       9800.00       *******              2115.65
                       9900.00       *******              2135.75
                       *******       *******              2155.85
